,TL,TM,TR,ML,MM,MR,BL,BM,BL.1,MID,TMBL,TMBM,TMBR,LMRT,LMRM,LMRB,DP,DS,RTL
78,b,b,x,b,o,b,x,b,b,1,0,0,0,0,0,0,0,0,1
79,x,o,x,b,o,b,x,b,b,1,1,2,0,0,0,0,0,0,7
80,x,x,b,o,o,b,b,b,x,1,0,0,0,1,2,0,0,0,5
81,o,x,x,b,o,b,x,b,b,1,0,0,0,0,0,0,2,0,8
82,o,x,x,b,o,b,b,x,b,1,0,0,0,0,0,0,2,0,8
83,b,b,x,b,o,b,b,x,b,1,0,0,0,0,0,0,0,0,3
84,b,b,x,o,o,b,x,x,b,1,0,0,0,0,2,1,0,0,5
85,b,o,x,b,o,b,x,b,x,1,0,2,1,0,0,1,0,0,7
86,x,o,b,b,o,b,x,b,x,1,1,2,0,0,0,1,0,0,7
87,b,b,x,x,o,x,b,o,b,1,0,2,1,0,0,0,0,0,1
88,o,b,b,b,x,x,b,b,b,1,0,0,0,0,1,0,0,0,3
89,o,x,b,o,x,x,b,b,b,1,2,1,0,0,0,0,0,0,6
90,o,b,x,b,x,b,o,b,x,1,2,0,1,0,0,0,0,0,3
91,x,x,b,b,o,o,b,x,b,1,0,0,0,1,2,0,0,0,3
92,b,b,x,o,o,b,b,x,x,1,0,0,1,0,2,1,0,0,5
93,b,b,b,b,o,x,b,x,b,1,0,0,0,0,0,0,0,0,8
94,b,b,b,x,o,x,b,x,o,1,0,0,0,0,0,0,2,0,0
95,x,o,x,b,o,x,b,b,b,1,0,2,1,0,0,0,0,0,7
96,x,x,b,b,o,b,b,b,b,1,0,0,0,1,0,0,0,0,2
97,x,x,o,b,o,x,b,b,b,1,0,0,0,0,0,0,0,2,6
98,b,b,b,b,o,x,b,b,x,1,0,0,1,0,0,0,0,0,2
99,b,b,o,b,o,x,b,x,x,1,0,0,0,0,0,1,0,2,6
100,b,b,x,x,o,b,x,o,b,1,1,2,0,0,0,0,0,0,1
101,o,b,b,x,x,b,b,b,b,1,0,0,0,0,1,0,0,0,5
102,o,b,x,x,x,o,b,b,b,1,0,0,0,0,0,0,0,1,6
103,o,b,x,x,x,o,o,b,x,1,0,0,0,0,0,0,0,0,1
104,b,b,b,x,o,b,o,x,x,1,0,0,0,0,0,0,0,2,2
105,o,x,b,b,x,b,b,b,b,1,0,1,0,0,0,0,0,0,7
106,o,x,b,b,x,x,b,o,b,1,0,0,0,0,1,0,0,0,3
107,o,x,x,o,x,x,b,o,b,1,2,0,1,0,0,0,0,1,6
108,b,b,x,x,o,b,b,o,x,1,0,2,1,0,0,0,0,0,1
109,b,b,b,b,o,x,x,x,o,1,0,0,0,0,0,0,2,0,0
110,x,b,b,b,o,b,x,b,b,1,1,0,0,0,0,0,0,0,3
111,x,x,b,o,o,b,x,b,b,1,0,0,0,1,2,0,0,0,5
112,b,b,b,b,o,b,x,x,b,1,0,0,0,0,0,1,0,0,8
113,x,x,o,b,o,b,b,b,x,1,0,0,0,0,0,0,0,2,6
114,x,b,b,x,o,b,o,x,b,1,0,0,0,0,0,0,0,2,2
115,b,x,x,b,o,x,b,b,o,1,0,0,0,1,0,0,2,0,0
116,b,o,b,b,o,x,x,b,x,1,0,2,1,0,0,1,0,0,7
117,x,x,b,x,o,b,o,b,b,1,0,0,0,1,0,0,0,2,2
118,x,b,x,x,o,b,b,o,b,1,1,2,0,1,0,0,0,0,1
119,b,x,b,x,o,b,b,b,b,1,0,0,0,0,0,0,0,0,0
120,o,x,b,x,o,b,b,b,x,1,0,0,0,0,0,0,0,0,2
121,o,x,o,x,o,x,b,b,x,1,0,0,0,0,0,0,0,2,6
122,o,x,o,x,o,b,x,b,x,1,0,0,0,0,0,1,0,0,7
123,x,x,o,b,o,b,x,b,b,1,1,0,0,0,0,0,0,0,3
124,x,x,o,o,o,x,x,b,b,1,0,0,0,0,0,0,0,0,7
125,b,b,b,x,o,b,x,o,x,1,1,2,0,0,0,0,0,0,1
126,o,b,o,b,x,b,x,b,x,1,0,0,0,2,0,1,0,0,1
127,b,o,b,b,o,x,x,x,b,1,0,0,0,0,0,1,0,0,8
128,b,o,b,x,o,x,x,x,o,1,1,0,0,0,0,0,2,0,0
129,x,b,b,b,o,b,x,o,x,1,1,2,0,0,0,0,0,0,1
130,b,x,o,b,o,x,x,b,b,1,0,0,0,0,0,0,0,0,0
131,o,x,o,b,o,x,x,x,b,1,0,0,0,0,0,1,2,0,8
132,b,b,x,b,o,b,b,b,x,1,0,0,1,0,0,0,0,0,5
133,b,b,x,x,o,o,b,b,x,1,0,0,0,0,0,0,0,0,1
134,b,o,x,x,o,o,b,x,x,1,0,0,0,0,0,1,0,0,6
135,b,b,x,b,o,x,b,x,o,1,0,0,0,0,0,0,2,0,0
136,o,b,b,x,o,b,x,b,x,1,0,0,0,0,0,1,0,0,7
137,o,b,b,x,o,x,x,o,x,1,0,2,1,0,0,0,0,0,1
138,o,b,b,x,x,o,x,b,b,1,0,0,0,0,0,0,0,1,2
139,o,b,o,x,x,o,x,x,b,1,0,1,2,2,0,1,0,0,8
140,o,x,x,b,x,b,b,o,b,1,0,0,0,0,0,0,0,1,6
141,o,x,x,b,x,x,o,o,b,1,2,0,1,0,1,2,0,0,8
142,x,o,b,b,o,x,x,x,o,1,1,0,0,0,0,0,0,0,3
143,b,o,x,x,o,b,x,b,b,1,1,2,0,0,0,0,0,0,7
144,x,b,b,b,o,x,b,o,x,1,0,2,1,0,0,0,0,0,1
145,o,x,b,b,x,b,x,o,b,1,0,0,0,0,0,0,0,1,2
146,o,x,o,b,x,x,x,o,b,1,0,0,0,0,1,0,0,0,3
147,x,x,b,o,o,b,b,x,b,1,0,0,0,1,2,0,0,0,5
148,o,x,b,b,x,b,b,o,x,1,0,0,0,0,0,0,0,0,3
149,o,x,b,o,x,b,x,o,x,1,0,0,0,0,0,0,0,1,2
150,b,o,b,x,o,x,b,b,x,1,0,2,1,0,0,0,0,0,7
151,x,b,b,b,o,b,x,x,o,1,1,0,0,0,0,0,0,0,3
152,x,b,x,o,o,b,x,x,o,1,0,0,0,1,2,0,0,0,5
153,b,x,b,b,o,o,x,b,x,1,0,0,0,0,2,1,0,0,3
154,x,b,b,x,o,x,b,o,b,1,1,2,0,0,0,0,0,0,1
155,o,b,x,b,x,x,o,b,b,1,2,0,1,0,1,0,0,0,3
156,o,x,x,x,o,b,b,b,b,1,0,0,0,0,0,0,2,0,8
157,o,b,b,x,o,x,x,b,b,1,0,0,0,0,0,0,2,0,8
158,x,x,o,b,o,x,b,o,x,1,0,0,0,0,0,0,0,2,6
159,b,x,b,b,o,o,x,x,b,1,0,0,0,0,2,1,0,0,3
160,o,b,b,o,x,x,b,x,b,1,2,1,0,0,0,0,0,0,6
161,b,x,x,o,o,b,b,b,x,1,0,0,1,1,2,0,0,0,5
162,b,o,x,b,o,b,x,x,b,1,0,0,0,0,0,1,0,0,8
163,b,o,x,x,o,b,x,x,o,1,1,0,0,0,0,0,2,0,0
164,o,x,b,x,o,b,b,x,b,1,0,0,0,0,0,0,2,0,8
165,x,o,x,b,o,b,b,b,x,1,0,2,1,0,0,0,0,0,7
166,o,b,o,b,x,x,b,b,x,1,0,0,0,2,1,0,0,0,1
167,b,b,x,o,o,x,b,x,b,1,0,0,1,0,0,0,0,0,8
168,b,b,x,o,o,x,x,x,o,1,0,0,0,0,0,0,2,0,0
