,TL,TM,TR,ML,MM,MR,BL,BM,BL.1,MID,TMBL,TMBM,TMBR,LMRT,LMRM,LMRB,DP,DS,RTL,RTM,RTR,RML,RMM,RMR,RBL,RBM,RBR
77,x,o,x,b,o,b,o,x,x,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,x,b,b,x,o,x,o,b,b,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
81,b,b,x,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
82,b,b,x,x,o,b,b,b,b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,b,x,x,x,o,b,b,o,b,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
84,o,x,x,x,o,b,b,o,x,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,x,b,b,b,o,x,b,b,b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,x,x,b,b,o,x,b,o,b,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
88,x,x,o,b,o,x,x,o,b,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,x,b,x,b,o,x,b,o,b,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
96,b,b,b,b,o,b,x,b,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
97,b,x,b,b,o,b,x,o,x,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
98,x,x,b,o,o,b,x,o,x,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
101,o,b,o,b,x,b,b,x,x,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
103,b,b,x,b,o,x,b,b,b,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,x,b,x,b,o,x,b,b,o,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
105,x,o,x,x,o,x,b,b,o,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,b,b,x,x,o,x,b,b,o,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
111,b,b,b,b,o,x,o,x,x,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0
113,o,b,b,b,x,b,b,x,b,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
114,o,o,b,b,x,b,x,x,b,1,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0
118,x,b,b,x,o,o,o,x,x,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
124,b,x,b,o,o,b,x,x,b,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
129,b,b,x,b,o,b,x,b,b,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130,x,o,x,b,o,b,x,b,b,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
133,x,x,b,o,o,b,b,b,x,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
139,o,x,x,b,o,b,x,b,b,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
142,o,x,x,b,o,b,b,x,b,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
144,b,b,x,b,o,b,b,x,b,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
145,b,b,x,o,o,b,x,x,b,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
152,b,o,x,b,o,b,x,b,x,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
158,x,o,b,b,o,b,x,b,x,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
164,b,b,x,x,o,x,b,o,b,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
