,TL,TM,TR,ML,MM,MR,BL,BM,BL.1,MID,TMBL,TMBM,TMBR,LMRT,LMRM,LMRB,DP,DS,RTL,RTM,RTR,RML,RMM,RMR,RBL,RBM,RBR
1402,o,b,b,o,x,x,b,b,x,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1469,x,b,b,o,o,x,x,b,b,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1470,x,o,b,o,o,x,x,x,b,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1473,b,o,b,x,o,b,x,b,x,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1521,b,x,b,b,o,x,b,x,o,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
1568,o,o,b,b,x,x,b,x,b,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
1593,o,b,o,x,x,o,x,b,x,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
1596,b,b,x,b,o,b,x,o,x,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1681,x,b,x,o,o,b,x,b,b,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
1685,x,o,b,x,o,b,o,x,x,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
1705,o,x,b,x,o,o,x,b,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1876,b,b,b,x,o,b,x,x,o,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
1880,o,o,x,x,x,o,b,b,x,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1893,x,o,x,b,o,b,b,x,b,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1894,x,o,x,o,o,b,b,x,x,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0
1938,x,o,x,b,o,x,b,x,o,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,o,o,x,b,x,b,b,x,b,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2004,o,o,x,x,x,b,o,x,b,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2011,x,b,o,x,o,x,b,x,o,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
2033,x,b,b,o,o,b,x,b,x,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
2039,b,x,x,b,o,o,x,b,b,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
2053,o,x,b,x,x,o,x,o,b,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2144,x,o,x,o,o,x,b,x,b,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2153,b,b,x,b,o,x,x,b,o,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
2209,o,x,o,b,o,x,x,b,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2268,b,b,o,x,o,x,x,o,x,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2271,b,x,x,b,o,o,b,b,x,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
2285,x,o,x,x,o,b,o,x,b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2322,o,x,b,x,o,o,x,x,b,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1
2330,x,x,o,b,o,x,b,x,o,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
2390,b,x,b,o,o,x,b,b,x,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2391,x,x,o,o,o,x,b,b,x,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
2398,o,o,b,x,o,x,x,x,b,1,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1
2408,x,o,x,o,o,x,x,b,b,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2416,o,x,x,o,x,b,b,o,x,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2420,o,b,x,x,o,b,x,o,x,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2487,o,x,b,x,o,b,x,o,x,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2498,x,o,b,o,o,x,x,b,x,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2517,x,x,o,o,o,b,x,x,b,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
2634,o,x,b,o,x,x,x,o,b,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2681,x,b,b,b,o,o,b,x,x,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
2694,x,b,o,b,o,x,x,o,x,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2765,x,o,b,b,o,x,x,b,b,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2788,o,o,x,x,x,o,b,x,b,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2818,o,x,b,x,x,b,b,o,b,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2855,o,o,b,x,o,x,b,x,x,1,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0
2894,b,x,o,x,o,x,b,b,b,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
3221,o,o,x,b,x,b,o,x,x,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3275,o,b,o,x,x,b,b,b,x,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
3279,b,x,b,o,o,x,x,o,x,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3283,o,x,o,x,x,b,x,o,b,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3326,o,x,o,x,o,b,b,x,x,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0
3600,o,x,x,x,x,b,o,o,b,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1
3666,b,x,o,o,o,x,b,x,x,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0
3714,o,b,x,x,x,b,o,b,b,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3715,o,b,x,x,x,o,o,x,b,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3771,o,x,x,x,o,x,b,o,b,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
3976,o,x,o,b,x,x,b,o,x,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4025,o,x,o,o,x,x,x,b,b,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4042,o,x,x,b,o,o,b,x,x,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
4061,o,x,x,o,o,x,b,x,b,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
4120,x,o,x,o,o,b,x,x,b,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
4178,o,x,b,x,x,o,b,o,x,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4207,b,x,o,o,o,x,x,b,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4251,x,o,b,b,o,x,o,x,x,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0
4319,o,o,x,b,x,x,o,x,b,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4395,o,b,x,x,o,b,o,x,x,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4855,x,x,o,x,o,x,b,o,b,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
5475,o,b,o,o,x,x,x,x,b,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
5669,b,o,b,x,o,x,o,x,x,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0
6724,o,o,b,x,x,o,x,x,b,1,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0
8093,o,x,o,x,x,b,b,o,x,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
